stop_id,stop_name,stop_lat,stop_lon,num,num_routes,num_trips,routes_list
386,Ma Na Pa,18.52382,73.85411,44,4,44,"338, 323, 13A, 127"
437,Bhairav Nagar,18.58269,73.88313,131,5,131,"152, 155, 401, 46, 346"
440,Dhanori Gaon,18.59544,73.89438,124,4,124,"152, 155, 46, 346"
441,Dhanori Shala,18.59212,73.89052,124,4,124,"152, 155, 46, 346"
442,Gokul Nagar,18.58775,73.88701,129,4,129,"152, 155, 46, 346"
444,Holkar Pool,18.55511,73.86073,3,1,3,264
446,Jakatnaka,18.59726,73.90644,8,1,8,152
447,Kamal Park,18.59738,73.90085,126,5,126,"152, 155, 401, 46, 346"
460,Sathe Biscuit,18.57055,73.87889,398,7,398,"152, 29, 119, VJR4, 46, 154, 253"
461,Sathe Nagar,18.59743,73.91482,120,6,120,"152, 155, 401, 46, 158B, 346"
467,Swargate,18.49928,73.85817,3007,70,3007,"42, 217, 19, 19A, 29, 22A, 2, 301, 186A, 13, 103, 2I, 103M, 2H, 298, 78, VJR1, 20, 227, 5, 337, 63, 213, 71, 66, 200, 20B, 601, 376, 21, 10, 130, 13A, 19D, 354, 67, 46, 164, 216, 216C, 216A, 299, 89, 90, 21A, 21B, 38, 235, 292A, 292, 292B, 292C, 253, 215, 230, 297, 194, 339, 196, 127, 52, 207, 179, 296, 101, 301A, RATRANI1, RATRANI2, 27, 26"
469,Abhinav College,18.50589,73.85295,142,4,142,"103, 64, 89, 90"
474,Fergusson College,18.523,73.84086,532,19,532,"87, 109, 376, VJR4, 111, VJR2, 46, 161, 91, 299, 90, 237, 50, 281, 282, 284, 85, RATRANI7, 275"
475,Dyaneshwer paduka,18.52647,73.84179,460,23,460,"87, 87F, 109, 376, 111, 51, 107, 77, 91, 299, 89, 90, 93, 105, 253, 80, 281, 282, 284, 85, 82, RATRANI7, 275"
478,Bhairav Nagar,18.58964,73.88847,132,6,132,"155, 126B, 152, 401, 46, 346"
480,Dagdi Khaan,18.57594,73.88049,130,5,130,"155, 126B, 152, 46, 346"
484,Gokul Nagar,18.59193,73.89057,130,5,130,"155, 126B, 152, 46, 346"
486,Holkar Pool,18.55468,73.86025,9,2,9,"252, 264"
488,Jakatnaka,18.59716,73.9064,8,1,8,152
491,Madhav Nagar,18.59709,73.90062,77,5,77,"126B, 152, 401, 46, 346"
494,Modern High School,18.52476,73.84938,16,2,16,"322, 80"
503,Sathe Biscuit,18.57032,73.87904,397,7,397,"119, VJR4, 29, 152, 46, 154, 253"
505,Torna garden,18.59805,73.90883,108,3,108,"155, 152, 46"
516,Ambedkar Society,18.553,73.87375,394,6,394,"152, 29, 119, VJR4, 46, 154"
517,Deccan College,18.54993,73.8718,314,6,314,"152, 29, 119, VJR4, 46, 253"
518,Homeguard,18.55623,73.87517,398,7,398,"152, 29, 119, VJR4, 46, 154, 253"
519,Mental Hospital,18.56651,73.87875,398,7,398,"152, 29, 119, VJR4, 46, 154, 253"
520,Phule Nagar,18.5599,73.87644,398,7,398,"152, 29, 119, VJR4, 46, 154, 253"
521,Ambedkar Society,18.55273,73.87366,401,7,401,"119, VJR4, 29, 152, 46, 154, 253"
522,Deccan College,18.55009,73.87197,313,6,313,"119, VJR4, 29, 152, 46, 253"
524,Mental Hospital,18.5662,73.87865,397,7,397,"119, VJR4, 29, 152, 46, 154, 253"
525,Phule Nagar,18.55958,73.87642,397,7,397,"119, VJR4, 29, 152, 46, 154, 253"
526,Panyachi Taki,18.59754,73.91975,118,5,118,"152, 155, 46, 158B, 346"
527,Panyachi Taki,18.59746,73.9209,118,5,118,"155, 152, 46, 158B, 346"
528,Homeguard,18.55588,73.87515,397,7,397,"119, VJR4, 29, 152, 46, 154, 253"
535,Ganesh Nagar Corner,18.59757,73.87317,149,2,149,"29, 119"
537,Walake Mala,18.60666,73.87335,1,1,1,151
538,Dighi Gaon,18.60969,73.87317,34,1,34,151
552,Navin S T Stand,18.67236,73.89239,5,1,5,347
556,Vitthal Baba Darga,18.68091,73.90036,3,1,3,264
563,Gavhanevasti,18.70925,73.93071,3,1,3,264
580,Ganeshnagar,18.59368,73.86413,9,2,9,"302B, 125"
581,Jeevannagar Hospital,18.59115,73.86327,15,2,15,"302B, 125"
586,Sangamwadi phata,18.53653,73.86231,92,2,92,"VJR4, 140"
587,Kendriya Vidyalaya,18.54537,73.87619,219,3,219,"29, 336, VJR4"
598,Tingre Nagar Grampanchayat,18.57699,73.89059,4,1,4,253
599,Vidyanagar,18.57971,73.8904,4,1,4,253
600,Yerwada Gaon,18.54551,73.8866,370,9,370,"315, 158, 162, HA, 155, 201, 154, 151, 158B"
602,Netaji High School,18.55184,73.88939,137,3,137,"154, 151, 131"
603,Bidi Kamgar Vasahat,18.55323,73.88273,84,1,84,154
608,Durvankur Lawns,18.62593,73.8622,150,8,150,"315, 351, 320, 359, 361, 331, 344, 358"
611,Bhosari,18.62462,73.85127,403,7,403,"358, 120, 299, VJR6, 324, 339, 357"
612,Magazine,18.63253,73.87343,46,4,46,"302A(New), 320, 331D, 360"
617,Mira Society,18.50201,73.87233,57,3,57,"VJR3, 186A, 20B"
620,Bombay Garage,18.51272,73.87997,297,7,297,"29, 204, 20, 170, 376, 164, 170B"
624,Tapkir nagar,18.65985,73.89566,6,2,6,"359, 358"
627,Dabhade Vasti,18.65728,73.89906,6,2,6,"359, 358"
630,R&D colony,18.57709,73.87661,1,1,1,315
633,Mhaskewasti,18.58713,73.87524,6,1,6,128
634,Parade ground,18.59097,73.87444,15,3,15,"315, 128, 346"
635,Ganesh Nagar Corner,18.59726,73.87337,14,2,14,"128, 346"
639,Parande Nagar,18.61792,73.87416,376,9,376,"315, 119, 149, 302B, 29, 201, 151, 264, 346"
658,Thakur Vasti,18.68558,73.90532,3,1,3,264
661,Shivam Industries,18.69855,73.92,3,1,3,264
663,Gavhanevasti,18.71108,73.93208,3,1,3,264
666,Vadgaon Ghenand Shala,18.71935,73.94111,3,1,3,264
667,Khandoba Mandir,18.72224,73.9432,3,1,3,264
669,Shelgaon,18.73177,73.94638,3,1,3,264
