route_short_name,trip_id,direction_id,first_stop,last_stop,num_stops,geometry
10,NORMAL_10_Keshavnagar To Swargate_Down-0640_0,0,Keshavnagar,Swargate,30,"LINESTRING (73.94418 18.53484,73.94084 18.53351,73.94034 18.53107,73.93369 18.53284,73.92866 18.53419,73.92066 18.53349,73.91759 18.53246,73.91454 18.53391,73.91092 18.53587,73.90392 18.53899,73.90161 18.53914,73.89539 18.53946,73.8903 18.53972,73.88313 18.53546,73.87746 18.53252,73.8762 18.52876,73.87669 18.52569,73.87532 18.52359,73.87133 18.52424,73.86913 18.52342,73.86766 18.52036,73.86845 18.51865,73.86854 18.51747,73.86883 18.51257,73.86843 18.51055,73.86857 18.50578,73.86809 18.50099,73.86381 18.49982,73.86118 18.50011,73.85817 18.49928)"
10,NORMAL_10_Swargate To Keshavnagar_Up-0545_0,0,Swargate,Keshavnagar,27,"LINESTRING (73.85817 18.49928,73.86139 18.50032,73.86381 18.5,73.86641 18.50053,73.86847 18.50564,73.86833 18.51092,73.86869 18.51256,73.86861 18.51493,73.86831 18.51879,73.86771 18.52009,73.87148 18.52507,73.87317 18.52741,73.87797 18.53299,73.88214 18.53517,73.88929 18.53971,73.89537 18.53958,73.9016 18.53922,73.90382 18.53905,73.91096 18.53594,73.91505 18.53363,73.91752 18.53256,73.92066 18.53358,73.92795 18.53435,73.93365 18.53298,73.94036 18.53109,73.94113 18.53362,73.94418 18.53484)"
100,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0610_0,0,Hinjawadi - Maan Phase 3,Ma Na Pa Dengle Pul,39,"LINESTRING (73.68818 18.57655,73.6876 18.5811,73.68981 18.58287,73.69639 18.58513,73.70494 18.58902,73.70766 18.59348,73.71284 18.59603,73.7179 18.59686,73.72808 18.59451,73.73245 18.59344,73.733 18.59114,73.73391 18.58635,73.73888 18.59161,73.75045 18.59095,73.75438 18.59203,73.76175 18.59249,73.76979 18.59014,73.77443 18.58975,73.78132 18.58862,73.78475 18.58833,73.78973 18.58725,73.79885 18.58108,73.80327 18.57688,73.8074 18.5725,73.81201 18.56652,73.8135 18.56313,73.81558 18.55972,73.81788 18.55665,73.81897 18.55515,73.82136 18.55184,73.82356 18.54884,73.83059 18.54116,73.83671 18.5365,73.83878 18.53498,73.84153 18.53312,73.84798 18.53078,73.85234 18.52864,73.84947 18.52474,73.85394 18.52312)"
100,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0500_0,0,Ma Na Pa Dengle Pul,Hinjawadi - Maan Phase 3,39,"LINESTRING (73.85515 18.52351,73.85274 18.52622,73.84911 18.53028,73.84233 18.53238,73.83866 18.53485,73.83649 18.53649,73.83504 18.53749,73.82702 18.54363,73.82344 18.54851,73.82163 18.5511,73.81882 18.55501,73.81764 18.55662,73.81542 18.5596,73.81312 18.56311,73.81219 18.56557,73.80717 18.57265,73.80303 18.57687,73.79858 18.58116,73.78986 18.58693,73.78436 18.58809,73.78138 18.58833,73.77426 18.58967,73.76961 18.59004,73.76153 18.59238,73.75415 18.59177,73.74979 18.59082,73.73889 18.59095,73.73332 18.58637,73.73293 18.591,73.73147 18.59387,73.72802 18.59435,73.71821 18.59669,73.71246 18.59573,73.70835 18.59354,73.70497 18.58878,73.6967 18.58511,73.68968 18.58264,73.68781 18.5809,73.68839 18.57654)"
101,NORMAL_101_Kondhwa Kh To Kothrud Depot_Down-0705_0,1,Kondhwa Kh,Kothrud Depot,37,"LINESTRING (73.88911 18.473,73.88961 18.47603,73.89065 18.47903,73.89099 18.48284,73.88955 18.48512,73.88478 18.48405,73.87747 18.4822,73.8714 18.4837,73.87032 18.48799,73.86823 18.48915,73.86372 18.48937,73.85732 18.48938,73.85771 18.49362,73.85771 18.49689,73.85817 18.49928,73.85551 18.50111,73.85369 18.50314,73.85294 18.50581,73.84974 18.50821,73.84752 18.50953,73.84545 18.5111,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81676 18.51014,73.81425 18.50957,73.81191 18.5093,73.81016 18.50838,73.80757 18.50737,73.80402 18.50692,73.79986 18.5074,73.79696 18.50775,73.79475 18.50792)"
101,NORMAL_101_Kothrud Depot To Kondhwa Kh_Up-0600_0,1,Kothrud Depot,Kondhwa Kh,37,"LINESTRING (73.79564 18.50799,73.79706 18.50801,73.79921 18.50764,73.8039 18.5071,73.80784 18.50758,73.80967 18.50833,73.81181 18.50945,73.81477 18.50979,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.84545 18.5111,73.84758 18.50956,73.85092 18.5074,73.85285 18.5061,73.85478 18.50442,73.85789 18.50159,73.85817 18.49928,73.85823 18.49649,73.85808 18.4943,73.85766 18.48967,73.86413 18.4895,73.86785 18.48925,73.87061 18.48769,73.87161 18.48358,73.87773 18.48231,73.88494 18.48422,73.88963 18.48519,73.89122 18.48238,73.89072 18.47872,73.88979 18.47657,73.88916 18.47281)"
101,NORMAL_101_Kothrud Depot To Sidharthnagar_Up-0910_0,1,Kothrud Depot,Sidharthnagar,37,"LINESTRING (73.79564 18.50799,73.79706 18.50801,73.79921 18.50764,73.8039 18.5071,73.80784 18.50758,73.80967 18.50833,73.81181 18.50945,73.81477 18.50979,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.84545 18.5111,73.84758 18.50956,73.85092 18.5074,73.85285 18.5061,73.85478 18.50442,73.85789 18.50159,73.85817 18.49928,73.85823 18.49649,73.85808 18.4943,73.85766 18.48967,73.86413 18.4895,73.86785 18.48925,73.87061 18.48769,73.87161 18.48358,73.87773 18.48231,73.88494 18.48422,73.88963 18.48519,73.89122 18.48238,73.89072 18.47872,73.89624 18.47689,73.90439 18.47749)"
101,NORMAL_101_Sidharthnagar To Kothrud Depot_Down-1030_0,1,Sidharthnagar,Kothrud Depot,37,"LINESTRING (73.90439 18.47749,73.89622 18.47687,73.89065 18.47903,73.89099 18.48284,73.88955 18.48512,73.88478 18.48405,73.87747 18.4822,73.8714 18.4837,73.87045 18.48767,73.86823 18.48915,73.86372 18.48937,73.85732 18.48938,73.85771 18.49362,73.85771 18.49689,73.85817 18.49928,73.85551 18.50111,73.85369 18.50314,73.8531 18.50573,73.84974 18.50821,73.84752 18.50953,73.84545 18.5111,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81676 18.51014,73.81425 18.50957,73.81191 18.5093,73.81016 18.50838,73.80757 18.50737,73.80402 18.50692,73.79986 18.5074,73.79696 18.50775,73.79475 18.50792)"
102,NORMAL_102_Kothrud Depot To Lohgaon_Up-0520_0,0,Kothrud Depot,Lohegaon,49,"LINESTRING (73.79564 18.50799,73.79706 18.50801,73.79921 18.50764,73.80332 18.51023,73.80311 18.51217,73.80345 18.50974,73.8039 18.5071,73.80784 18.50758,73.80967 18.50833,73.81246 18.50952,73.81477 18.50979,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.84147 18.51806,73.84086 18.52275,73.8419 18.5264,73.84441 18.53118,73.84911 18.53049,73.8507 18.52999,73.85853 18.5294,73.8624 18.52962,73.86422 18.52715,73.86844 18.52493,73.87201 18.52561,73.87317 18.52741,73.87797 18.53299,73.88095 18.53678,73.88344 18.54068,73.88506 18.54518,73.88803 18.54579,73.88946 18.55204,73.89 18.55451,73.89141 18.55931,73.89337 18.56352,73.89354 18.56402,73.89978 18.57263,73.89951 18.57452,73.9031 18.57797,73.90509 18.58532,73.91546 18.59068,73.91704 18.59181,73.9226 18.59354,73.92457 18.59592)"
102,NORMAL_102_Lohgaon To Kothrud Depot_Down-0640_0,0,Lohegaon,Kothrud Depot,48,"LINESTRING (73.92451 18.59576,73.92261 18.59353,73.91687 18.59172,73.91453 18.58983,73.90514 18.58534,73.90311 18.57794,73.8996 18.57458,73.89977 18.57239,73.89354 18.56402,73.89337 18.56352,73.89141 18.55931,73.89009 18.55426,73.88963 18.55214,73.88856 18.54563,73.88546 18.54501,73.88363 18.54064,73.88023 18.53574,73.87746 18.53252,73.8762 18.52876,73.87669 18.52569,73.87532 18.52359,73.87133 18.52424,73.86443 18.52712,73.86272 18.52989,73.8586 18.52958,73.85234 18.52864,73.84924 18.52451,73.8473 18.52183,73.84423 18.51824,73.84274 18.51645,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81676 18.51014,73.81425 18.50957,73.81191 18.5093,73.81016 18.50838,73.80784 18.50758,73.80402 18.50692,73.80124 18.5073,73.80052 18.50734,73.79986 18.5074,73.79696 18.50775,73.79475 18.50792)"
103,NORMAL_103_Hinjawadi - Maan Phase 3 To Katraj_Down-0720_0,1,Hinjawadi - Maan Phase 3,Katraj,74,"LINESTRING (73.68818 18.57655,73.6876 18.5811,73.69639 18.58513,73.70494 18.58902,73.70766 18.59348,73.71284 18.59603,73.7179 18.59686,73.72808 18.59451,73.73245 18.59344,73.733 18.59114,73.73391 18.58635,73.73888 18.59161,73.75045 18.59095,73.75438 18.59203,73.75753 18.59127,73.76082 18.58295,73.76376 18.57483,73.76782 18.56408,73.77024 18.55703,73.77304 18.54961,73.77373 18.54822,73.77398 18.54754,73.77869 18.54524,73.78277 18.54404,73.78568 18.54358,73.7868 18.54328,73.79015 18.54267,73.79195 18.54158,73.79394 18.53948,73.79609 18.53778,73.79567 18.53656,73.79376 18.53353,73.78674 18.52665,73.782 18.52612,73.77884 18.51963,73.78214 18.51539,73.78223 18.51222,73.7836 18.50761,73.78988 18.50847,73.79564 18.50799,73.79706 18.50801,73.79921 18.50764,73.8039 18.5071,73.80784 18.50758,73.80967 18.50833,73.81181 18.50945,73.81477 18.50979,73.81825 18.51082,73.82097 18.51015,73.82392 18.5069,73.8283 18.50722,73.83208 18.50909,73.83481 18.51048,73.83865 18.51238,73.84095 18.51347,73.8457 18.51084,73.84752 18.50953,73.84974 18.50821,73.85285 18.5061,73.85478 18.50442,73.85789 18.50159,73.85817 18.49928,73.85811 18.49701,73.85808 18.4943,73.85766 18.48967,73.85767 18.48638,73.85734 18.48107,73.85632 18.47501,73.8577 18.46867,73.85817 18.4644,73.85851 18.45702,73.85853 18.4538,73.85864 18.44989,73.85962 18.4476)"
103,NORMAL_103_Katraj To Hinjawadi - Maan Phase 3_Up-0530_0,1,Katraj,Hinjawadi - Maan Phase 3,73,"LINESTRING (73.85868 18.44682,73.85802 18.45011,73.85846 18.45382,73.85836 18.45738,73.85805 18.46377,73.8577 18.46808,73.85626 18.47585,73.85713 18.48104,73.8574 18.48674,73.85732 18.48938,73.85771 18.49362,73.85771 18.49689,73.85817 18.49928,73.85552 18.50111,73.85369 18.50314,73.8531 18.50573,73.84974 18.50821,73.84752 18.50953,73.84545 18.5111,73.84103 18.51327,73.83826 18.51205,73.83528 18.5106,73.83192 18.50893,73.82887 18.50732,73.82346 18.50726,73.81954 18.51043,73.81825 18.51082,73.81425 18.50957,73.81191 18.5093,73.81016 18.50838,73.80757 18.50737,73.80402 18.50692,73.79986 18.5074,73.79696 18.50775,73.79475 18.50792,73.79042 18.5083,73.78404 18.50704,73.78223 18.51222,73.78125 18.51694,73.77984 18.5226,73.78178 18.52598,73.79035 18.52692,73.79376 18.53353,73.79571 18.53615,73.79585 18.53765,73.79381 18.53898,73.79184 18.54154,73.79027 18.5424,73.78689 18.54335,73.78518 18.54348,73.78273 18.54394,73.77869 18.54524,73.773 18.54853,73.77224 18.55005,73.77005 18.55698,73.76763 18.56378,73.76345 18.57479,73.76052 18.5829,73.75752 18.59096,73.75415 18.59177,73.74979 18.59082,73.73881 18.59072,73.73332 18.58637,73.73293 18.591,73.73147 18.59387,73.72802 18.59435,73.71821 18.59669,73.71246 18.59573,73.70835 18.59354,73.70494 18.58902,73.6967 18.58511,73.68781 18.5809,73.68839 18.57654)"
